sat_name,physical_channel,proxy_nickname,proxy_receive_time,server_receive_time,raw_data
DSLWP-B,13,PA0DLO,2018-08-04 16:40:00.000,2018-08-04 18:25:01.367,BJ1SNJ86B0PA9
DSLWP-B,13,YL3CT,2018-08-05 08:05:00.000,2018-08-05 14:10:59.960,BJ1SNJ86H0PAJ
DSLWP-B,13,YL3CT,2018-08-05 09:10:00.000,2018-08-05 14:12:15.680,BJ1SNJ86E0PA9
DSLWP-B,13,YL3CT,2018-08-05 09:40:00.000,2018-08-05 14:14:04.801,BJ1SNJ86D0PA9
DSLWP-B,13,YL3CT,2018-08-05 09:50:00.000,2018-08-05 14:14:35.451,BJ1SNJ8660PAJ
DSLWP-B,13,YL3CT,2018-08-05 09:00:00.000,2018-08-05 14:11:41.579,BJ1SNJ8690PAT
DSLWP-B,13,YL3CT,2018-08-05 09:20:00.000,2018-08-05 14:12:46.501,BJ1SNJ86F0PAJ
DSLWP-B,13,YL3CT,2018-08-05 09:30:00.000,2018-08-05 14:13:28.791,BJ1SNJ86A0PAT
DSLWP-B,13,PA0DLO,2018-08-05 15:40:00.000,2018-08-05 18:18:48.020,BJ1SNI8680OD9
DSLWP-B,13,YL3CT,2018-08-05 10:20:00.000,2018-08-05 14:16:45.121,BJ1SNJ86C0PAJ
DSLWP-B,13,K4KDR,2018-08-05 16:21:00.000,2018-08-05 16:24:22.708,BJ1SNI86C0ODK
DSLWP-B,13,K4KDR,2018-08-05 16:41:00.000,2018-08-05 16:45:29.375,BJ1SNI8650OD9
DSLWP-B,13,K4KDR,2018-08-05 16:51:00.000,2018-08-05 16:52:38.807,BJ1SNI86D0ODK
DSLWP-B,13,K4KDR,2018-08-05 17:01:00.000,2018-08-05 17:02:32.580,BJ1SNI86C0PD0
DSLWP-B,13,YL3CT,2018-08-05 10:00:00.000,2018-08-05 14:15:17.044,BJ1SNJ86C0PAT
DSLWP-B,13,YL3CT,2018-08-05 10:10:00.000,2018-08-05 14:16:17.921,BJ1SNJ86F0PA9
DSLWP-B,13,K4KDR,2018-08-05 16:10:00.000,2018-08-05 16:14:55.644,BJ1SNI8690OD9
DSLWP-B,13,PA0DLO,2018-08-05 16:21:00.000,2018-08-05 18:20:46.608,BJ1SNI86C0ODK
DSLWP-B,13,PA0DLO,2018-08-05 16:31:00.000,2018-08-05 18:21:45.619,BJ1SNI86E0OD0
DSLWP-B,13,PA0DLO,2018-08-05 16:41:00.000,2018-08-05 18:22:52.121,BJ1SNI8650OD9
DSLWP-B,13,PA0DLO,2018-08-05 15:50:00.000,2018-08-05 18:19:16.454,BJ1SNI8670ODK
DSLWP-B,13,PA0DLO,2018-08-05 16:10:00.000,2018-08-05 18:20:17.644,BJ1SNI8690OD9
DSLWP-B,13,PA0DLO,2018-08-05 16:30:00.000,2018-08-05 18:21:20.314,BJ1SNJ86C0OAT
DSLWP-B,13,PA0DLO,2018-08-05 16:40:00.000,2018-08-05 18:22:25.177,BJ1SNJ86F0OA9
DSLWP-B,13,PA0DLO,2018-08-05 16:00:00.000,2018-08-05 18:19:50.415,BJ1SNI8690ODT
DSLWP-B,13,PA0DLO,2018-08-05 16:50:00.000,2018-08-05 18:23:19.539,BJ1SNJ8670PAJ
DSLWP-B,13,PA0DLO,2018-08-05 16:51:00.000,2018-08-05 18:23:44.004,BJ1SNI86D0ODK
DSLWP-B,13,PA0DLO,2018-08-05 17:01:00.000,2018-08-05 18:24:40.444,BJ1SNI86C0PD0
DSLWP-B,13,PA0DLO,2018-08-05 17:11:00.000,2018-08-05 18:25:24.899,BJ1SNI86A0PDA
DSLWP-B,13,PA0DLO,2018-08-05 17:21:00.000,2018-08-05 18:26:07.414,BJ1SNI86C0PDK
DSLWP-B,13,PA0DLO,2018-08-05 17:00:00.000,2018-08-05 18:24:11.659,BJ1SNJ86B0PAT
DSLWP-B,13,PA0DLO,2018-08-05 17:10:00.000,2018-08-05 18:25:02.745,BJ1SNJ86C0PA9
DSLWP-B,13,PA0DLO,2018-08-05 17:20:00.000,2018-08-05 18:25:48.221,BJ1SNJ86C0PAJ
DSLWP-B,13,YL3CT,2018-08-05 15:50:00.000,2018-08-05 19:01:15.829,BJ1SNJ86C0OAJ
DSLWP-B,13,YL3CT,2018-08-05 16:00:00.000,2018-08-05 19:01:55.305,BJ1SNJ86D0OAT
DSLWP-B,13,YL3CT,2018-08-05 16:10:00.000,2018-08-05 19:02:37.973,BJ1SNJ86E0OA9
DSLWP-B,13,YL3CT,2018-08-05 16:20:00.000,2018-08-05 19:03:11.155,BJ1SNJ86C0OAJ
DSLWP-B,13,YL3CT,2018-08-05 16:40:00.000,2018-08-05 19:03:59.333,BJ1SNJ86F0OA9
DSLWP-B,13,w2rtv,2018-08-05 15:40:00.000,2018-08-06 02:49:39.014,BJ1SNI8680OD9
DSLWP-B,13,YL3CT,2018-08-05 16:30:00.000,2018-08-05 19:03:35.052,BJ1SNJ86C0OAT
DSLWP-B,13,YL3CT,2018-08-05 16:50:00.000,2018-08-05 19:04:30.610,BJ1SNJ8670PAJ
DSLWP-B,13,YL3CT,2018-08-05 17:00:00.000,2018-08-05 19:05:03.185,BJ1SNJ86B0PAT
DSLWP-B,13,YL3CT,2018-08-05 17:10:00.000,2018-08-05 19:05:28.797,BJ1SNJ86C0PA9
DSLWP-B,13,YL3CT,2018-08-05 17:20:00.000,2018-08-05 19:06:01.306,BJ1SNJ86C0PAJ
DSLWP-B,13,w2rtv,2018-08-05 16:21:00.000,2018-08-06 02:57:13.165,BJ1SNI86C0ODK
DSLWP-B,13,w2rtv,2018-08-05 16:31:00.000,2018-08-06 02:57:47.274,BJ1SNI86E0ODO
DSLWP-B,13,w2rtv,2018-08-05 16:41:00.000,2018-08-06 02:59:00.066,BJ1SNI8650ODO
DSLWP-B,13,w2rtv,2018-08-05 16:51:00.000,2018-08-06 02:59:50.538,BJ1SNI8650ODO
DSLWP-B,13,w2rtv,2018-08-05 17:01:00.000,2018-08-06 03:01:26.876,BJ1SNI86C0PDO
DSLWP-B,13,w2rtv,2018-08-05 17:11:00.000,2018-08-06 03:02:43.724,BJ1SNI86A0PDA
DSLWP-B,13,w2rtv,2018-08-05 15:50:00.000,2018-08-06 02:53:57.425,BJISNI8670ODK
DSLWP-B,13,w2rtv,2018-08-05 16:10:00.000,2018-08-06 02:56:00.788,BJ1SNI8690OD9
DSLWP-B,13,w2rtv,2018-08-05 16:00:00.000,2018-08-06 02:54:50.904,BJ1SNI8690ODT
DSLWP-B,13,w2rtv,2018-08-05 17:21:00.000,2018-08-06 03:03:18.819,BJ1SNI86C0PDK
DSLWP-B,13,N6RFM,2018-08-05 16:21:00.000,2018-08-06 03:53:22.129,BJ1SNI86C0ODK
DSLWP-B,13,N6RFM,2018-08-05 16:31:00.000,2018-08-06 03:53:48.769,BJ1SNI86E0OD0
DSLWP-B,13,N6RFM,2018-08-05 16:41:00.000,2018-08-06 03:54:24.906,BJ1SNI8650OD9
DSLWP-B,13,N6RFM,2018-08-05 15:40:00.000,2018-08-06 03:51:13.521,BJ1SNI8680OD9
DSLWP-B,13,N6RFM,2018-08-05 15:50:00.000,2018-08-06 03:51:45.657,BJ1SNI8670ODK
DSLWP-B,13,N6RFM,2018-08-05 16:00:00.000,2018-08-06 03:52:34.545,BJ1SNI8690ODT
DSLWP-B,13,N6RFM,2018-08-05 16:10:00.000,2018-08-06 03:52:57.017,BJ1SNI860OD9
DSLWP-B,13,N6RFM,2018-08-05 16:00:00.000,2018-08-06 03:52:11.585,BJ1SNI8690DT
DSLWP-B,13,N6RFM,2018-08-05 16:51:00.000,2018-08-06 03:54:51.562,BJ1SNI86D0ODK
DSLWP-B,13,N6RFM,2018-08-05 17:01:00.000,2018-08-06 03:55:17.355,BJ1SNI86C0PD0
DSLWP-B,13,N6RFM,2018-08-05 17:11:00.000,2018-08-06 03:55:43.315,BJ1SNI86A0PDA
DSLWP-B,13,N6RFM,2018-08-05 17:21:00.000,2018-08-06 03:55:59.995,BJ1SNI86C0PDK
DSLWP-B,13,3B8DU,2018-07-30 00:20:00.000,2018-08-08 13:42:00.782,BJ1SNI8690ODJ
DSLWP-B,13,N6RFM,2018-08-05 16:10:00.000,2018-08-06 03:58:10.293,BJ1SNI8690OD9
DSLWP-B,13,DK3WN,2018-06-16 17:40:00.000,2018-08-08 04:43:51.827,BJ1SNJ8681PD9
DSLWP-B,13,3B8DU,2018-08-08 13:38:00.000,2018-08-08 13:39:08.695,Test
DSLWP-B,13,3B8DU,2018-08-08 13:27:00.000,2018-08-08 13:27:40.715,Test
DSLWP-B,13,PA0DLO,2018-08-12 21:51:00.000,2018-08-12 22:54:23.207,BJ1SNI86B0ODJ
DSLWP-B,13,PA0DLO,2018-08-12 22:01:00.000,2018-08-12 22:54:50.915,BJ1SNI8680PD0
DSLWP-B,13,PA0DLO,2018-08-12 21:30:00.000,2018-08-12 22:53:10.010,BJ1SNI8690ODT
DSLWP-B,13,PA0DLO,2018-08-12 21:40:00.000,2018-08-12 22:53:32.830,BJ1SNI8650OD9
DSLWP-B,13,PA0DLO,2018-08-12 21:20:00.000,2018-08-12 22:52:34.138,BJ1SNI86C0ODJ
DSLWP-B,13,3B8DU,2018-07-30 01:01:00.000,2018-08-08 13:50:09.797,BJ1SNI8690ODT
DSLWP-B,13,3B8DU,2018-07-30 00:30:00.000,2018-08-08 13:48:17.768,BJ1SNI86E0OD0
DSLWP-B,13,3B8DU,2018-07-30 00:40:00.000,2018-08-08 13:49:19.265,BJ1SNI86B0ODA
DSLWP-B,13,3B8FA,2018-08-12 21:51:00.000,2018-08-12 22:38:50.298,BJSNI86B0ODJ
DSLWP-B,13,PA0DLO,2018-08-12 22:11:00.000,2018-08-12 22:55:15.221,BJ1SNI86H0PD9
DSLWP-B,13,PA0DLO,2018-08-12 22:21:00.000,2018-08-12 22:55:35.461,BJ1SNI86A0PDK
DSLWP-B,13,PA0DLO,2018-08-12 22:31:00.000,2018-08-12 22:56:00.880,BJ1SNI86A0PD0
DSLWP-B,13,PA0DLO,2018-08-12 22:41:00.000,2018-08-12 22:56:21.241,BJ1SNI8670PD9
DSLWP-B,13,PA0DLO,2018-08-12 22:51:00.000,2018-08-12 22:56:43.325,BJ1SNI8670PDK
DSLWP-B,13,N6RFM,2018-08-12 21:10:00.000,2018-08-13 00:36:04.090,BJ1SNJ86F0OA9
DSLWP-B,13,3B8DU,2018-08-12 21:40:00.000,2018-08-12 23:54:10.246,BJSNI8650OD9
DSLWP-B,13,3B8DU,2018-08-12 21:50:00.000,2018-08-12 23:54:39.281,BJSNI86B0ODG
DSLWP-B,13,3B8DU,2018-08-12 21:20:00.000,2018-08-12 23:53:39.936,BJSNI86C0ODJ
DSLWP-B,13,3B8FA,2018-08-12 21:51:00.000,2018-08-13 14:03:19.155,BJ1SNI86B0ODJ
DSLWP-B,13,N6RFM,2018-08-12 22:11:00.000,2018-08-13 00:37:24.290,BJ1SNI86H0PD9
DSLWP-B,13,N6RFM,2018-08-12 22:21:00.000,2018-08-13 00:37:49.476,BJ1SNI86A0PDK
DSLWP-B,13,N6RFM,2018-08-12 22:31:00.000,2018-08-13 00:38:06.498,BJ1SNI86A0PD0
DSLWP-B,13,N6RFM,2018-08-12 22:41:00.000,2018-08-13 00:38:29.843,BJ1SNI8670PD9
DSLWP-B,13,N6RFM,2018-08-12 22:51:00.000,2018-08-13 00:38:46.891,BJ1SNI8670PDK
DSLWP-B,13,VK5EI,2018-08-14 17:10:00.000,2018-08-14 17:16:07.212,BJ1SNI86A1OD9
DSLWP-B,13,N6RFM,2018-08-12 21:20:00.000,2018-08-13 00:36:34.938,BJ1SNJ86E0OAJ
DSLWP-B,13,VK5EI,2018-08-14 17:30:00.000,2018-08-14 17:31:41.781,BJ1SNI86D3QDT
